time,force,tip,base
0.047,3.948483816263677e-09,-9.201567560286083e-08,-9.399000001029853e-08
0.0475,4.004711852036018e-09,-9.298756159592162e-08,-9.49900000106173e-08
0.048,4.061189974927154e-09,-9.395932254537297e-08,-9.599000001093607e-08
0.0485,4.117917003087779e-09,-9.493095904213984e-08,-9.699000001125484e-08
0.049,4.174891769900879e-09,-9.590247166953212e-08,-9.799000001157361e-08
0.0495,4.232113123639837e-09,-9.68738610034125e-08,-9.899000001189238e-08
0.05,4.2895799271476425e-09,-9.784512761236031e-08,-9.999000001221116e-08
0.0505,4.347291057519267e-09,-9.881627205782895e-08,-1.0099000001252993e-07
0.051000000000000004,4.405245405796901e-09,-9.978729489429819e-08,-1.019900000128487e-07
0.051500000000000004,4.46344187667375e-09,-1.0075819666942182e-07,-1.0299000001316747e-07
0.052000000000000005,4.521879388209709e-09,-1.0172897792417059e-07,-1.0399000001348624e-07
0.0525,4.580556871552753e-09,-1.0269963919297037e-07,-1.0499000001380501e-07
0.053,4.6394732706743005e-09,-1.0367018100383703e-07,-1.0599000001412378e-07
0.0535,4.698627542103024e-09,-1.0464060387850527e-07,-1.0699000001444255e-07
0.054,4.758018654681193e-09,-1.0561090833255595e-07,-1.0799000001476133e-07
0.0545,4.817645589312653e-09,-1.0658109487553737e-07,-1.089900000150801e-07
0.055,4.877507338727587e-09,-1.0755116401108403e-07,-1.0999000001539887e-07
0.0555,4.937602907255917e-09,-1.0852111623703233e-07,-1.1099000001571764e-07
0.056,4.9979313105993235e-09,-1.0949095204553201e-07,-1.1199000001603641e-07
0.0565,5.058491575618181e-09,-1.1046067192315517e-07,-1.1299000001635518e-07
0.057,5.119282740104371e-09,-1.1143027635099904e-07,-1.1399000001667395e-07
0.0575,5.180303852612805e-09,-1.1239976580479494e-07,-1.1499000001699272e-07
0.058,5.241553972220199e-09,-1.133691407550008e-07,-1.159900000173115e-07
0.0585,5.303032168357551e-09,-1.1433840166690274e-07,-1.1699000001763027e-07
