time,force,tip,base,indentation,R,A,k,Q,f,approach_vel,Ee,E_arms,T_arms
0.00858,-8.214944804819114e-10,-1.3570663604993405e-08,-1.315999999990983e-08,1.3570663604993405e-08,,,,,,,,,
0.008585,-8.212015222283621e-10,-1.3580517126065685e-08,-1.316999999990971e-08,1.3580517126065685e-08,,,,,,,,,
0.00859,-8.209085170438495e-10,-1.3590370623672467e-08,-1.3179999999909589e-08,1.3590370623672467e-08,,,,,,,,,
0.008595,-8.206154649284593e-10,-1.360022409781383e-08,-1.3189999999909468e-08,1.360022409781383e-08,,,,,,,,,
0.0086,-8.203223658823857e-10,-1.3610077548489828e-08,-1.3199999999909347e-08,1.3610077548489828e-08,,,,,,,,,
0.008605,-8.200292199057555e-10,-1.3619930975700562e-08,-1.3209999999909226e-08,1.3619930975700562e-08,,,,,,,,,
0.00861,-8.197360269987873e-10,-1.3629784379446111e-08,-1.3219999999909105e-08,1.3629784379446111e-08,,,,,,,,,
0.008615,-8.194427871616706e-10,-1.3639637759726591e-08,-1.3229999999908984e-08,1.3639637759726591e-08,,,,,,,,,
0.008620000000000001,-8.191495003946511e-10,-1.364949111654211e-08,-1.3239999999908863e-08,1.364949111654211e-08,,,,,,,,,
0.008625,-8.188561666979606e-10,-1.36593444498928e-08,-1.3249999999908742e-08,1.36593444498928e-08,,,,,,,,,
0.00863,-8.185627860718964e-10,-1.366919775977879e-08,-1.325999999990862e-08,1.366919775977879e-08,,,,,,,,,
0.008635,-8.18269358516727e-10,-1.3679051046200234e-08,-1.32699999999085e-08,1.3679051046200234e-08,,,,,,,,,
0.00864,-8.179758840327914e-10,-1.3688904309157277e-08,-1.3279999999908379e-08,1.3688904309157277e-08,,,,,,,,,
0.008645,-8.176823626203947e-10,-1.3698757548650101e-08,-1.3289999999908258e-08,1.3698757548650101e-08,,,,,,,,,
0.00865,-8.173887942799129e-10,-1.3708610764678872e-08,-1.3299999999908137e-08,1.3708610764678872e-08,,,,,,,,,
0.008655,-8.170951790117117e-10,-1.3718463957243783e-08,-1.3309999999908016e-08,1.3718463957243783e-08,,,,,,,,,
